Number,MIC,Company Name,Model Name,Problem 1,Last Date
14CG004,EKH,CAROLINA SKIFF LLC,CAROLINA SKIFF 17 DLX,SAFE LOADING MAX WT,2019-06-03
180009S,WTX,HEY DAY,WT-SURF,ELECTRICAL SYSTEM,2019-04-02
16CG052S,REC,RECREATION UNLIMITED LLC,16 EBO,LEVEL FLOTATION,2019-01-02
17D208CS,JBC,ALUMA-WELD INC,�X 24 BAY� OUTBOARD; XP180,LABEL; CERTIFICATION,2018-09-12
180002S,,TACO METALS,#F38-6600,NAVIGATION LIGHTS,2018-03-12
16CG054S,WZX,RIGID BOAT CO INC,12' FIBERGLASS FISH,SAFE LOADING MAX WT,2018-07-11
16CG066S,MRR,NORTHPORT MARINE,F-4602 12� ALUMINUM VEE FISH,,2018-09-10
17CG119S,BTH,BEETLE INC (BTH),12' ONSET ISLAND SKIFF,LEVEL FLOTATION,2018-11-08
180000T,ESG,33RD STRIKE GROUP,PONTOON BOAT,BIMINI FAILURE,2018-03-08
170004T,BWC,BOSTON WHALER INC,420 OR,VENTILATION,2018-07-03
170015T,LML,LEXINGTON MARINE GROUP,,BIMINI TOP FAILURE,2018-05-01
17CG113S,DXV,FOUR SONS,COASTAL SKIFF 184,SAFE LOADING MAX WT,2017-12-11
160001S,PCM,,H5/H6,START IN GEAR,2017-05-10
110001S,MB2,MALIBU BOATS,RESPONSE LX,BASIC FLOTATION,2017-04-10
11R4395S,ELB,ELIMINATOR BOATS INC,'30 DAYTONA' INBOARD POWERED BOA,FUEL SYSTEM,2017-09-06
140008T,LYG,SEAFOX,"""TRAVELER, COMMANDER, AVENGER""",SAFE LOADING PERSONS,2017-06-06
100012S,BLB,BAYLINER,"""195BR, 215BR, AND 197SD""",NAVIGATION LIGHTS,2016-04-12
140003T,JPN,SUZUKI MOTOR OF AMERICA,DF250AP & DF300AP,START IN GEAR,2016-02-09
12R4868S,TIX,TIGE BOATS INC,RZR R20 Z1 23' IB BOAT,ELECTRICAL SYSTEM,2016-11-08
150014T,HCT,LIVINGSTON CAT BOATS,LV14,BACK FLOODING,2016-03-07
080036T,MBC,MASTERCRAFT BOAT CO LLC,MARISTAR 280 AND X-80,FUEL SYSTEM,2016-01-06
140011T,FIN,FINELINE IND INC,CENTURION ENZO,DYNAMIC INSTABILITY,2015-06-11
13R4949S,GQE,EPIC BOATS,'23V' IB POWERED BOAT,VENTILATION,2015-08-03
100014T,PCM,PLEASURECRAFT ENGINE GROUP,,FUEL SYSTEM,2014-10-08
110044T,YAM,YAMAHA MOTOR CORP,"""F2.5MSH, F4AMHA/LMHA, F6MHA/LMH",FUEL SYSTEM,2014-04-08
080030T,PCM,PLEASURECRAFT ENGINE GROUP,,ENGINE SHIFT CONTROL,2014-10-07
10R3776S,OPL,OUTERLIMITS OFFSHORE POWERBOA,40 SL INBOARD GAS POWERED,VENTILATION,2014-11-03
110041T,GDY,GODFREY MARINE COMPANY,SS 188 IO,VENTILATION,2013-01-11
09R3332S,GZZ,NORTHERN WATERS IND LTD,"""""""PHANTOM"""" 13'8"""" OUTBOARD""",FLOTATION DATA,2013-08-08
100021T,RGR,RANGER BOATS LLC,"""Z520, Z521, Z522, 621VS, 620VS""",ELECTRICAL,2013-05-08
11R4563S,TOE,TOWEE BOATS,'RIVERMASTER 16' OB POWERED BOAT,SAFE LOADING PERSONS,2013-08-07
11R4200S,WCD,WELDCRAFT MARINE SERVICES,'240 CUDDY KING' OB POWERED BOAT,VENTILATION,2013-08-05
090044T,KAW,KAWASAKI MOTORS CORP USA,JT1500 JET SKI STX-15,CRACKING FUEL TANK,2013-06-05
090010T,KAW,KAWASAKI MOTORS CORP USA,JT1500A JT1500D JS800A,ENGINE; GASOLINE,2013-06-05
090045T,KAW,KAWASAKI MOTORS CORP USA,JT900E AND JT1200C,BALL PLUG OF FUEL TAP,2013-06-05
13R5211S,ABW,"""ALLIED BOAT WORKS, LLC""",'SPORTSMAN' OB POWERED BOAT,LABEL; CAPACITY,2013-12-03
110031T,HQZ,VOLVO PENTA OF THE AMERICAS,VOLVO 8.1L,ENGINE; GASOLINE,2013-01-02
07V163S,OYN,MALLARD MARINE,FIRST GENERATION MARSH RAT,SAFE LOADING MAX WT,2013-09-01
031012T,SER,SEA RAY BOATS INC,185 SPORT BR & 180OB,LEVEL FLOTATION,2013-02-01
100004T,HQZ,VOLVO PENTA OF AMERICAS,"""3.0 GLP-J, 4.3 GL-J, 4.3 GL-F""",ENGINE; GASOLINE,2012-09-11
11R4295S,SRR,CARAVELLE POWERBOATS,'232 BR' IB POWERED BOAT,ELECTRICAL,2012-02-09
110029T,HQZ,PERKO INC,0540 0580 0582 1319,FUEL SYSTEM,2012-04-08
06P028S,LJE,LEGEND BOATS LTD,LE 186,LEVEL FLOTATION,2012-07-02
080001T,MBC,MASTERCRAFT BOAT CO LLC,MARISTAR 245 & X-45,STEERING WEAR,2011-08-09
060090T,GAH,MERCURY MARINE,GM 8.1 L ENGINE,ENGINE; GASOLINE,2011-11-08
080011T,BUJ,TRACKER MARINE GROUP L.P.,TAHOE 215I - 216I,ADAPTER HARNESS CLAMP,2011-06-07
080027S,KEN,KENNER BOATS,MAKO 181ST,LABEL; CAPACITY,2011-05-06
080028T,USH,BAYLINER MARINE,205NBR,SEAT PEDESTAL BASE MOUNT,2011-04-06
070026T,GEN,G3 BOATS,VARIOUS,HULL; CRACKS,2011-04-06
100019T,,PARKER HANNIFIN,,LPG SOLENOID VALVE LEAK,2011-04-06
070033T,BBB,US MARINE,185 BR,SEAT PEDESTALS,2011-04-06
080032T,USD,BAYLINER,285 AND 300SB,GENERATOR WIRING,2011-04-06
07R2029S,CRT,CIGARETTE RACING TEAM LLC,39 TOP GUN INBOARD,FUEL SYSTEM,2011-04-06
11R4199S,HXJ,HELLS CANYON MARINE LLC,'GRANITE HD' IB POWERED BOAT,ENGINE; GASOLINE,2011-08-04
110019T,,PELICAN INTERNATIONAL,FLOW 106 STANDUP PADDLEBRD,HULL; CRACKS,2011-11-03
080024S,JTC,CROWNLINE BOATS INC,VARIOUS,ELECTRICAL SYSTEM,2011-03-02
10R3992S,DBI,DRAGONFLY BOATWORKS LLC,'16 EMERGER' OB POWERED,HORSEPOWER,2010-11-10
