Number,MIC,Company Name,Model Name,Problem 1,Last Date
961493S,OMC,OUTBOARD MARINE CORP,JAVELIN (SEE NEXT PAGE),LEVEL FLOTATION,1998-12-17
820003S,BUJ,BASS TRACKER INC,BASS TRACKER II,LEVEL FLOTATION,1983-06-28
991626S,BC1,BACK COUNTRY BY CHAMPION,151 PRO GUIDE,LEVEL FLOTATION,2000-04-18
910766T,KAW,KAWASAKI MOTORS CORP,JET SKI JF650-A6 (X-2),STEERING SHAFT BREAKAGE,1998-03-16
810101S,,BASS TRACKER INC,,FLOTATION,1983-06-28
950321T,BEY,BENETEAU (USA) INC,VARIOUS - SEE REMARKS,HEADSTAY FAILS MAST FALLS,1995-12-29
070030T,ABC,MINN KOTA MOTORS,MAXXUM 101 (36V),CIRCUIT BOARD FAILURE,2007-08-29
030148T,MBC,MASTERCRAFT BOAT CO,,STEERING,2005-09-16
971510S,EHO,CERTIFIED FIBERGLASS INC,14' SANPIPER,LEVEL FLOTATION,1997-08-27
950294T,KAW,KAWASAKI MOTORS MFG,JH900-A1 AND JH750-C1,GAS MAY LEAK FROM FUEL,1997-02-24
980052T,ZZN,BOMBARDIER CORP,GTS/XP/GTI/SP/SPX/SPI,FUEL FILL NECK CRACKED,2000-06-15
820087S,SAN,SANGER BOAT MFG,S-5 SPRINT JET,FAILED BASIC FLOTATION,1983-02-15
960041T,LAR,LARSON BOATS,"""CABRIO 260,280,310""",ELECTRICAL ADDITIONAL,1999-06-30
820035S,SGU,SKIPPER LINER HOUSEBTS,,UNDERSIZED BLOWER,1982-10-14
920381S,YSI,SEMINOLE MARINE,1992 SAILFISH,LEVEL FLOTATION,1992-11-30
800235S,TCT,THUNDER CRAFT BOATS IN,TITAN 150,WRONG CAP LABEL,1981-02-23
960084S,HQZ,U.S. COAST GUARD HEADQUARTERS,RG 065 2N & RG 065 2S,ELECTRICAL - IGN PROTECT,1998-05-27
820132S,ELD,ELDO CRAFT BOAT CO,SPIRIT I,LEVEL FLOTATION,1984-07-23
03V030S,QVA,PATRIOT BOATS INTERNATIONAL,2050DC,BASIC FLOTATION,2005-01-26
040022T,CEC,BOMBARDIER RECREATIONAL PROD,SPORTSTER - SPEEDSTER,STEERING CABLES,2008-06-13
050008T,,CRUSADER ENGINES,ALL MODEL NO LAST DIGIT D OR M,FUEL SYSTEM,2006-09-15
040140S,THM,TROPHY SPORTFISHING BOATS,2503 CC & 2502 WALKAROUND,ISOLATION BULKHEADS,2006-01-19
050052T,JPN,AMERICAN SUZUKI MTR CORP,"""DF200, DF225, & DF250""",FLYWHEEL MAY BREAK,2007-04-23
031013T,VCN,CARAVELLE BOATS INC,SEA HAWK 200,LEVEL FLOTATION,2008-09-30
05R1163S,RSB,SMOKER CRAFT INC,182 VECTRA INBOARD BOAT,EXHAUST SYSTEM,2009-09-24
990058T,FGB,CHAPARRAL BOATS INC,2135SS 2334SS 2835SS 205L3 240,ELECTRICAL UNFUSED WIRE,1999-11-30
800078S,BVM,BANDIT MFG CO,VARIOUS,NO CERT LABELS,1980-12-22
940130S,COJ,COMMANDER BOATS,2500 LX & 24' SUPERCRUISR,FUEL HOSE NOT USCG TYPE,2001-05-18
970046S,MBV,MASTERCRAFTERS INC,VARIOUS MODELS,FUEL SYSTEM VALVE LEAKS,1998-12-16
941277S,BLE,BLACK EAGLE MARINE,15.73' PIONEER BASS BOAT,LEVEL FLOTATION,1995-07-30
941299S,DSN,DISCOVERY MARINE,DLX VOYAGER,STABILITY PORT AND STARB,1994-11-28
04V073T,KTT,KITCO INC,5725,SAFE LOADING MAX WT,2006-09-29
030149T,YAM,YAMAHA MOTOR CORP USA,"""F225/LF225, F200/LF200""",THROTTLE LINKAGE,2006-08-23
800317S,SYK,R & R FIBERGLASS,16 FT RUNABOUT,SAFE POWERING,1981-07-14
020116S,LAR,LARSON BOATS,CABRIO 270 AND CABRIO 274,ANTI-SIPHON PROTECTION,2005-03-17
820047S,TDC,TIDECRAFT,14' OUTBOARD,LEVEL FLOTATION,1983-07-27
001021T,LYG,SEA FOX BOAT COMPANY INC,172CC,LEVEL FLOTATION,2009-02-19
940060T,,,SIDE MOUNT CONTROLS,STEERING CABLE MAY DETACH,1994-03-14
940204T,CNU,COMMERCIAL WATER SPORTS INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,2002-01-28
971531S,LBO,LANDAU MANUFACTURING,150T CRAPPIE JON,LEVEL FLOTATION,1997-07-24
030134S,LUN,LUND BOAT DIVISION,VARIOUS,FUEL TANK SENDER GASKET,2004-02-29
060045T,BBB,BAYLINER MARINE,185BR,STEERING,2010-02-25
990037T,,MERCURY MARINE,QUICKSILVER,ELECTRICAL - ISOLATOR,2001-05-17
800272S,EBK,EBKO INDUSTRIES INC,STALETTO,CAPACITY DISPLAY,1981-02-20
050074T,JPN,AMERICAN SUZUKI MTR CORP,4-STROKE V6 O/B,ENGINE BACKFIRE,2006-05-26
810035D,XDY,BANGOR PUNTA,,AIRPAX T-11 INSTALLED,1982-06-23
810035E,VKY,VIKING YACHT,,AIRPAX T-11 INSTALLED,1982-07-19
040124S,BIY,BAYLINER MARINE,180 BOWRIDER,OVERCURRENT PROTECTION,2006-01-19
980003S,SSU,TIARA YACHTS INC,SEE REMARKS,ELECTRICAL - IGN PROTECT,2000-01-31
810016S,SKU,SKOOKUM DORIES/PALMER,8FT PILCHUCK,LEVEL FLOTATION,1981-06-15
961473S,WJI,WAVE INDUSTRY INC,1600 PRO SKIFF,SAFE LOAD: PERS WT,1997-08-27
070006T,SSU,S2 YACHTS INC,3370 OS,ELECTRICAL,2009-04-21
080019T,YAM,YAMAHA MOTOR CORP USA,SEE COMMENTS,FUEL SYSTEM,2012-04-17
080020T,YAM,YAMAHA MOTOR CORP USA,SEE COMMENTS,FUEL SYSTEM,2012-04-19
100007N,JNT,NAUTICSTAR BOATS,"""BAY, OS DC, SSD, OS, RG""",HULL ID NUMBER,2010-11-30
960045T,SER,SEA RAY BOATS INC,240 & 250 SUNDANCER,CO - BULKHEAD NOT TIGHT,1999-12-22
920378T,ZZN,BOMBARDIER CORP,ALL SEA DOO MODELS,EMERGENCY CUTOFF SWITCH,1995-09-24
800004S,AMF,SILVERTON MARINE CORP,,,1980-09-16
000225T,KAW,KAWASAKI,JH 1200-A1 AND JH 1200-A2,ENGINE; GASOLINE,2000-10-30
100011S,QJT,PRINCECRAFT,STARFISH SC,LABEL; CAPACITY,2011-03-28
070013T,WEM,CONFLUENCE WATER SPORTS,TARPON FISHING KAYAKS,HULL; CRACKS,2008-08-13
07R2028S,CRT,CIGARETTE RACING TEAM LLC,42XP INBOARD,VENTILATION,2007-11-27
800046S,NNC,MANTA MARINE INC,18 FT OUTBOARD,NONCOMPLIANCE -,1981-08-17
000085T,HQZ,HAMILTON JET,HJ-212 & HJ-213 WATER JETS,STEERING,2000-05-16
060035S,GEN,G3 BOATS,1860WOFJ,LEVEL FLOTATION,2006-06-30
060036T,JPN,AMERICAN SUZUKI MTR CORP,4-STROKE V6 O/B,ENGINE BACKFIRE,2008-04-21
800308S,BKA,KOFFLER BOATS INC,PRAM 10,WRONG HP CAPACITY,1981-10-21
800309S,XHM,BLUE HERON YACHTS-INC.,EDDON GIG 12,CERT/CAPACITY,1981-12-23
05R1048S,FCS,FALCON BOAT LTD,SEA PRO INBOARD,FUEL SYSTEM,2006-10-17
810214S,AKM,ANSWER MARINE,15' RUNABOUT,FLOTATION,1983-05-26
820020S,PEV,SEA RAIDER,SR-155,LEVEL FLOTATION,1987-01-21
960054T,HQZ,U.S. COAST GUARD HEADQUARTERS,,FUEL PUMP RETURN FITTING,1998-09-14
040132T,BLB,BAYLINER MARINE,3788,FUEL TANK LEAK,2006-01-19
050039T,HQZ,BOMBARDIER RECREATIONAL PROD,EVINRUDE OUTBOARD,FUEL INJECTOR FASTENER,2010-04-29
820073T,RGM,REGAL MARINE INDUSTRIE,,HULL DELAMINATION,1983-01-26
040071S,JTC,CROWNLINE BOATS INC,"""208LX, 208BR, 210LX, 230DB""",ELECTRICAL GROUNDING,2006-03-16
030115T,YAM,YAMAHA MOTOR CORP USA,SR230 SPORT BOAT,FUEL HOSE CLAMP,2006-08-23
110043T,,MERCURY MARINE,MERCRUISER 3.0 L MPI,ELECTRICAL SYSTEM,2016-09-13
941318S,JBS,JONES BROTHERS MARINE MFG,17.5' 176 BATEAU,SAFE HORSEPOWER,1995-06-30
810061S,CYV,COBRA BOAT MFG INC,COBRA II,FLOTATION,1981-08-25
800008S,TSB,CHAMPION BASSBOAT,17FT BASSBOAT,FLOTATION/SINKING,1981-08-25
010049T,OML,STRATOS BOATS INC,20SS EXTREME,HULL PERFORMANCE,2002-10-22
020167S,,CRUSADER ENGINES,8.1 AND 8.1 HO ENGINES,ELECTRICAL WIRING HARNESS,2004-07-15
820072S,BLB,BAYLINER MARINE,CAPRIS,FUEL FILL PIPE NOT GROUND,1983-04-14
940158T,BJA,BOMBARDIER LTD,1994 SPEEDSTER,STARTER/BATTERY CABLE,1998-09-15
08P042R2,BUJ,TRACKER MARINE L.P.,TOPPER 1032,SAFE LOADING PERSONS,2013-11-25
800048S,WST,PISCES BOAT CO,15' SEA SKIFF,NONCOMPLIANCE -,1980-10-29
800040S,HUP,HUNT PRODUCTS LTD,,,1981-04-20
970124T,CDR,CARVER BOAT CORPORATION,350 MARINER,CARBON MONOXIDE,1998-11-30
920299S,ESM,DUCKWORTH BOAT CO,16' O/B,SAFE LOAD MAX PERS & WT,1992-09-23
980212T,CPR,FULLOUT BOATS LLC,SKATE,HULL CRACKING,1999-07-29
950152T,DCA,DURACRAFT MARINE CORPORATION,VARIOUS,FUEL FILL FITTING CRACKS,2001-05-18
130006T,KIS,LEISURE PROPERTIES LLC,"""235 SS, E6, 285SS, 286 SC""",EXHAUST SYSTEM,2015-05-18
05R0796s,GAR,GARWOOD BOAT CO INC,GARWOOD SPEEDSTER,VENTILATION,2005-08-22
08R2816S,LYQ,BOLES WORKS,12A,LIGHTING,2008-06-18
040123S,THM,TROPHY SPORTFISHING BOATS,2103 CENTER CONSOLE,TRIM TAB BREAKER WIRING,2010-01-29
930186T,ZZN,BOMBARDIER CORP,SEA DOO XP,STEERING DEFECTIVE NOZZLE,1998-09-15
951411S,AFQ,ACTION CRAFT,1800 COASTLINE,LEVEL FLOTATION,1997-04-22
940244T,YAM,YAMAHA MOTOR CORP USA,RA700S (WAVERAIDER),FUEL TANK ABRASION OF,1998-03-16
020150S,THM,U.S. MARINE,2359 FB,ELECTRICAL OVERCURRENT,2006-01-19
981603S,SBO,SOUTHEASTERN BOAT & FIBERGLAS,B 60,LEVEL FLOTATION,1999-01-26
971503S,HSX,HYDRA-SPORTS INC,17' HYDRA SKIFF,SAFE LOAD: PERS WGT,1999-06-14
970087T,ZZN,BOMBARDIER CORP,GSX LTD MODEL 5625,INTAKE GRATE,2000-06-15
080046T,HQZ,VOLVO PENTA,3.0GLP-J; 4.3GL-J; AND 4.3GL-JF,CARB FLOAT BOWL SCREWS,2017-12-19
810116T,TUP,SUMMIT PRODUCTS INC,9870-3- 9870-5 9870-7,POOR SEAMS ON 2-4-6 MAN,1981-10-19
970033T,ZZN,BOMBARDIER CORP,ALL,FUEL TANK,1998-09-15
10R4097S,ASP,ALEXANDRIA SEAPORT FOUNDATION,'BEVIN'S SKIFF' ROWBOAT (KIT),HULL ID NUMBER,2012-07-13
971512S,PLR,POLAR KRAFT MFG CO,MV 1648 16' JON BOAT,SAFE LOAD: PERS WT,1998-11-16
971514S,VVI,V.I.P. BOATS,180CC,LEVEL FLOTATION,1998-05-20
971515S,MBV,MASTERCRAFTERS INC,18' FISHMASTER,SAFE LOAD: PERS WT,1999-04-30
810157S,RHY,RHYAN CRAFT,16-801-880,SAFE POWERING,1982-04-21
951416S,AWI,AQUATIC WATERCRAFT INC,ITZ A BOAT,SAFE LOAD: PERS WT,1996-03-28
040057S,THM,BAYLINER MARINE,2353 TROPHY,FUEL SYSTEM ANTI-SIPHON,2005-11-21
800212S,VFE,SUN-RAY BOAT CO INC,188 DUB,TANK STRAP INSOLATIO,1980-08-20
950162T,BKV,KRUGERBRAND INC,BAYMASTER 1850/1950/2150,FUEL FILL FITTING CRACKS,1998-04-21
920406S,AFQ,ACTION CRAFT,ACTION CRAFT EAGLE,SAFE LOADING MAX PERS,1993-04-19
940224T,LIW,LEISURE INDUSTRIES INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1994-12-14
020072T,YAM,YAMAHA MOTOR CORP USA,GP1200A-A XA1200A-A XA800A-A,ENGINE; GASOLINE,2002-04-30
941344S,EZR,EZY RYDER CORP,LEGEND 140 SPORT,LEVEL FLOTATION,1995-05-25
05R0929S,FBE,CARSTENS INDUSTRIES INC,CANVAS BACK 14' OUTBOARD,LABEL; CAPACITY,2005-11-30
070008T,YAM,YAMAHA MOTOR CORP USA,F15 & F20 OUTBOARDS,TILLER HANDLE,2020-10-13
800323S,VTT,TRI STATE IND FBRGLASS,15' BASS O/B,HULL ID NUMBER,1982-03-21
800324S,FSN,RANDALL CRAFT,14' JOHN BOAT,LEVEL FLOTATION,1982-08-25
850140S,MB2,MALIBU BOATS,18.5 SEABRING,LEVEL FLOTATION,1987-04-28
001030S,BUJ,TRACKER MARINE L.P.,1648 AWL (SEE COMMENTS),LEVEL FLOTATION,2008-02-21
920422S,4WN,FOUR WINNS INC,207 QUEST FISHING BOATS,FLOTATION NOT SUFFICIENT,1994-11-16
800060S,SCM,STARDUST CRUISERS,,WIRE TERMINALS,1980-05-27
810072S,MVJ,MERCEDES BOATS,VARIOUS,LACKS VENTILATION LABELS,1982-03-22
960001T,XDC,ZODIAC OF NORTH AMERICA,420 DELUXE & MAXIE 427,FUEL FILL FITTING CRACKS,1996-07-30
820084S,LAR,LARSON INDUSTRIES- INC,WILDFIRE 5000,LEVEL FLOTATION,1983-06-22
940306T,ZZN,BOMBARDIER CORP,SPEEDSTER 5890 JET BOAT,SAFETY LANYARD SYSTEM,1998-03-17
820031S,HAW,DAWSON BOAT CO,15S,LEVEL FLOTATION,1983-01-26
010122T,MXP,MAXUM MARINE,2100SD DECK BOAT,ENGINEROOM BHD NOT SEALED,2006-01-18
971518S,CBA,C & C MANUFACTURING INC,154CC,LEVEL FLOTATION,2000-08-25
05R1042S,HEW,HEWES MARINE CO,SPORT JET 180 SM,FUEL SYSTEM,2006-05-22
810013S,LCI,LEISURE CRAFT INC,VARIOUS,NO HIN -EVER,1981-07-29
05R1060S,FXZ,FAMOUS CRAFT INC,24 FLOTILLA,VENTILATION,2006-03-29
090039S,CRC,CRESTLINER INC,1850 SPORT FISH SST,LEVEL FLOTATION,2012-05-23
090040S,CRC,CRESTLINER INC,1650 SPORT ANGLER,LEVEL FLOTATION,2012-05-23
820128S,SLV,SILVERLINE- ARCTIC ENT,GRENADA 15GTL,LEVEL FLOTATION,1983-08-16
031005S,JBC,ALUMA WELD DBA XPRESS,H51,LEVEL FLOTATION,2009-05-26
990157T,BUJ,TRACKER MARINE L.P.,MH 170; MH 180,HULL - STRUCTURAL,2000-09-21
970058T,CEC,BOMBARDIER MOTOR CORP OF AMER,SPEEDSTER,STEERING,2000-06-15
001018S,MJI,DYNASTY BOATS INC,1780 LD,SAFE LOADING MAX PERS WT,2010-03-17
800293S,SLO,SAIL OR BOATS,12 FT,PERSONS CAPACITY,1981-06-17
810035T,BWC,BOSTON WHALER,,AIRPAX T-11 INSTALLED,1982-01-13
050023S,KEI,KEVCON CORP,"""STEALTH 145C, 1237 JON, 1437 JO",LEVEL FLOTATION,2010-02-22
970080T,SER,SEA RAY BOATS INC,190BR & 210BR,FUEL LINE ABRASION - LEAK,2003-07-30
960075T,ZZN,BOMBARDIER CORP,SEA DOO 5620,SEAT MAY DISENGAGE,2000-06-15
010060T,XDC,ZODIAC OF NORTH AMERICA,SY6 BAG & CAN LIFERAFTS,FIRING PIN CABLE ASSEMBLY,2002-01-31
800062S,XNA,NORTH AMERICAN FIBERGL,,,1981-04-20
080040T,HQZ,MERCURY MARINE,OPTIMAX AND EFI OUTBOARD,LOSS OF SHIFT CONTROL,2015-04-13
080041T,HQZ,MERCURY MARINE,VERADO L4 AND L6,POWER STEERING FUSE,2020-01-17
920296S,FNP,AQUA FORCE,AQUA 160,SAFE LOAD MAX PERS & WT,1992-05-26
120044T,,SPRINGFIELD MARINE CO.,SEAT PEDESTAL #1280605-MSLU,SEAT PEDASTAL FAILURE,2014-01-16
090038S,CRC,CRESTLINER INC,1850 FISH HAWK TILLER,LEVEL FLOTATION,2012-05-23
120019T,BLB,,"""160BR, 180BR""",,2015-10-22
07R2607S,XVW,LUSCAR MARINE,E15 BOX,LABEL; CAPACITY,2014-02-18
100006S,THM,TROPHY 163 & 183CC,TROPHY 163 CC & 183CC,NAVIGATION LIGHTS,2015-10-20
060110T,SER,SEA RAY BOATS INC,250 / 270SLX,ELECTRICAL SYSTEM,2012-10-29
190043T,BRP,BOMBARDIER RECREATIONAL PRODU,PW GTX 230 LBBM,DYNAMIC INSTABILITY,2021-07-19
15R5591S,BAV,BAVARIA YACHTS USA,CRUISER 46� AUXILIARY SAILBOAT,LABEL; CERTIFICATION,2015-08-31
951417s,PTB,FRUGE MARINE ENTERPRISES INC,TC16EFS,LEVEL FLOTATION,1996-05-28
010147S,WEL,WELLCRAFT MARINE CORP,VARIOUS,FUEL FILTER - GENERATOR,2001-08-21
040087T,CTC,CORRECT CRAFT INC,VARIOUS,STEERING BOLT,2007-06-28
060063T,PWV,PARKS MFG INC,2200 PURE BAY; 220 V-BAY LC,FUEL FILL FITTING CRACKS,2009-06-24
991645S,DMA,EDGEWATER POWERBOATS,155 CC,SAFE LOADING MAX WT,2004-07-19
961463s,ZQL,SPORTSPAL PRODUCTS 611421,16' WT CANOE,LEVEL FLOTATION,1997-11-25
06R1269S,JHQ,RIVER HAWK BOATS INC,"""B60 15' 3"""" OUTBOARD""",LABEL; CAPACITY,2006-04-25
020175S,,SEA MAX,8.1L AND 8.1L HO,ELECTRICAL SYSTEM,2004-04-30
160007T,VKY,VIKING YACHT COMPANY,,SEAT,2023-01-24
01R0083S,BOX,GRAND CRAFT,BOESCH 680,FUEL SYSTEM,2001-10-17
961478S,RSB,SMOKER-CRAFT,17 NPT 16' ALUMINUM FISH BOAT,LEVEL FLOTATION,1998-05-20
010159T,JPN,AMERICAN SUZUKI MOTOR CORP,DF90 & DF115 OUTBOARDS,LOSS OF GEARSHIFT OPS,2003-07-22
810107S,AUC,ALMAR,ALL MODELS,NO VENTILATION LABELS,1981-09-24
01R0116S,ELB,EILIMINATOR BOATS INC,230 EAGLE,VENTILATION DUCT SIZE,2003-03-25
800119S,SBX,STREBLOW,,FLEX FUEL LINE,1981-02-18
961434S,DCA,DURACRAFT MARINE CORPORATION,1860 FISHING BOAT,LEVEL FLOTATION,1996-10-28
941285S,NLZ,N L SILVA & COMPANY,FISHERMAN 18,SAFE LOAD: PERS,1995-07-14
970092T,FWN,FOUR WINNS (OMC),238/258 VISTA,ENGINE COMP. VENTILATION,1998-02-27
120032T,RGR,RANGER BOATS LLC,,ELECTRICAL,2015-04-29
08R2736S,HAM,HARRIS-KAYOT LLC,V 220 I,VENTILATION,2013-08-14
03R0060S,SDA,SPINMAR INC,DAY CRUISER,ELECTRICAL SYSTEM,2004-05-18
06R1915S,HAM,HARRIS-KAYOT LLC,S 225 INBOARD POWERED DECK BOAT,VENTILATION,2008-11-17
940132S,HCB,HOWARD CUSTOM BOATS,20.5' BOWRIDER & 22' I/O,NON IGN PROT BATT TERM,1994-07-22
01R0532S,BLM,BELMONT MARINE,20 I/O,LABEL; CAPACITY,2002-04-30
031002T,VVI,VIVIAN INDUSRIES,VIP STEALTH SX190,MAX WEIGHT,2004-11-18
970126T,HQZ,U.S. COAST GUARD HEADQUARTERS,BY MODELS SEE REMARKS,FUEL PUMP LEAK,1998-02-28
950169T,VCL,CARAVELLE BOATS INC,SEE REMARKS,FUEL FILL FITTING CRACKS,1996-10-28
010003T,ARJ,ARCTIC CAT INC,TS 1100 LI,ENGINE; GASOLINE,2005-06-30
920301S,JDT,JETCRAFT BOATS INC,PROSTEELHEADER I,LEVEL FLOTATION STABILITY,1993-06-21
020082T,CEC,BOMBARDIER LTD,UTOPIA CHALLENGER & ISLANDIA,ELECTRICAL SYSTEM,2006-03-13
5R01163S,RSB,SMOKER CRAFT INC,182 VECTRA INBOARD,VENTILATION,2009-09-24
12R4798S,THC,"""HINCKLEY COMPANY, THE""",'HINCKLEY 37' DIESEL BOAT,LABEL; CERTIFICATION,2013-06-18
800117S,VLA,CALVAC MARINE,,,1981-09-28
940205T,EPE,EPIC PERFORMANCE INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1995-07-26
070038T,KAW,KAWASAKI MOTORS CORP USA,ULTRA 250X & ULTRA LX,ENGINE; GASOLINE,2007-08-14
820045S,BUJ,BASS TRACKER INC,BASS TRAC,LEVEL FLOTATION,1983-06-28
820046S,BUJ,BASS TRACKER INC,BASS TRAC,LEVEL FLOTATION,1983-04-15
10R4157S,HEN,SKIFF CRAFT INC.,'26 RUNABOUT' IB POWERED BOAT,ELECTRICAL SYSTEM,2012-06-19
010011T,SNS,SUNSTAR HOUSEBOATS INC,,GENERATOR EXHAUST (CO),2002-05-31
010012T,SZJ,SUMERSET HOUSEBOATS,UNK,GENERATOR EXHAUST (CO),2001-07-24
030124T,CEC,BOMBARDIER LTD,EVINRUDE 75-250 HP OUTBOARDS,FUEL MANIFOLD DEFECTIVE,2006-03-15
970042T,LAR,LARSON BOATS,CABRIO MODEL 310 MCC,ELECTRICAL SHORE POWER,1998-12-16
820064T,GLA,GLASTRON-CARLSON,C-500,SEAT CAME LOOSE,1983-10-25
03R0361S,ILA,ILLUSION BOATS INC,SF 156 JET,LABEL; CAPACITY,2003-08-18
06R1320S,FGQ,FOUNTAIN POWERBOATS INC,EXECUTIONER 42' INBOARD,FUEL SYSTEM,2009-06-15
03R0169S,VPY,PRAIRIE ADVENTURE OUTDOORS,14-1531,LEVEL FLOTATION,2003-07-23
920304S,CBM,CEE BEE MFG CO,15' AVENGER,LEVEL FLOTATION,1993-05-25
920527S,RLS,"""R.L.S. ENTERPRISES, INC.""",WATER BUDDY BEACH BOAT,SAFE LOAD MAX PER LBS,1993-06-16
060034T,CEC,"""BRP US, INC.""",JOHNSON 200/225 HP OUTBOARD,MALFUNCTIONING ECM,2010-04-29
15CG029S,JOK,K L INDUSTRIES,CLASSIC DINGHY O/B OVER 2HP,LEVEL FLOTATION,2016-12-20
980145T,HQZ,U.S. COAST GUARD HEADQUARTERS,BY,FUEL PUMP INLET FITTING,1998-08-24
000083T,HUN,HUNTER MARINE CORP,H410; P420; P450; H460,ELECTRICAL SYSTEM - IGN,2001-03-13
920395S,BKA,KOFFLER BOATS INC,JET SLED,LEVEL FLOTATION,1993-04-16
05R0450S,IRR,ADRENALINE CUSTOM BOATS,ADRENALINE 24 FT INBOARD,LABEL; CERTIFICATION,2006-01-24
030063T,GLA,GLASTRON BOATS,GX 225,SEAT BASE,2005-03-17
800050S,ASH,ASH-CRAFT BOAT CO,15' OUTBOARD,NONCOMPLIANCE -,1981-03-26
800227S,MGM,MAGTEX CO,15' 150 MAGNUM,SAFE POWERING,1981-05-19
960042T,,,JOHNSON/EVINRUDE O/B'S,KILL SWITCH FAILURE,1998-02-27
970008T,SER,SEA RAY BOATS INC,190BR & 210BR,STEERING,1999-12-22
800215S,BWX,BRUCE WOOLDRIDGE,15FT MAN,NO CERT & CAP LABEL,1980-12-29
930135T,NOR,CRESTLINER INC,,STEERING; TELEFLEX HELM,1995-02-22
930136T,AQA,AQUASPORT DIVISION,,STEERING; TELEFLEX HELM,1994-08-29
010055T,,BOMBARDIER LTD,EVINRUDE 200 & 225 HP,FUEL SYSTEM,2002-02-28
040070S,SER,SEA RAY BOATS INC,320DA & 340SDA,LABEL; BLOWER WARNING,2004-12-17
951402S,MCJ,MIRAGE HOLDING INC,150 VIKING,LEVEL FLOTATION,1998-05-22
090017T,HQZ,CUMMINS MERCRUISER DIESEL,ZEUS 3500 AND 3800,POD CLAMP RING BOLTS,2009-05-14
04R0144S,CGI,CUSTOM FIBERGLASS MOLDING,12' SQUARE STERN,LABEL; CAPACITY,2005-09-14
970090T,LAR,LARSON BOATS,CABRIO 280 AND 290,FUEL FILL COULD ABRADE,1999-04-30
150015T,,MERCURY MARINE,4.5L MERCUSIER,FUEL SYSTEM,2022-05-25
010092S,SER,SEA RAY BOATS INC,240DA 240 SD 245WE 225WE,FUEL SYSTEM - HOSE LEAK,2004-06-30
05R0814S,RGF,MONTEREY BOATS,350 SPORT YACHT,ELECTRICAL SYSTEM,2006-06-15
010161T,GND,GRAND BANKS YACHTS LTD,"""EASTBAY 49, GRAND BANKS 66""",SHAFT SEAL,2004-04-15
01R0081S,FRU,FOREST RIVER INC,2103TT LEXTRA,VENTILATION,2002-10-29
060077T,SXS,SEA HUNT BOAT MFG CO INC,240 CC,FUEL FILL FITTING CRACKS,2007-01-31
950273T,LRT,LEISURE KRAFT PONTUNES,,FUEL FILL FITTING CRACKS,1995-10-13
920370S,RBM,RENKEN BOAT MFG CO. INC,1780,LEVEL FLOTATION,1993-07-29
01R0508S,HEN,SKIFF CRAFT INC,26 RUNABOUT,ELECTRICAL CIRC. BRKR,2002-09-16
950031T,,SPIRIT BOATS USA (PLASTIMO),TRANSOCEAN LIFERAFT,VALVE MAY LEAK,1995-11-21
950032T,BUJ,"""TRACKER MARINE, L.P.""",185 SPORT SF,FUEL TANK LEAK,1995-08-15
820023S,CXN,CRUSADER BOATS,12FTO/B MICRO-PAN,LEVEL FLOTATION,1982-03-22
06R1212S,VBG,HUNT BOATBUILDERS,HARRIER 25 GASOLINE INBOARD,VENTILATION,2006-05-22
920504S,HRM,HIRN CRAFT PRODUCTS,HIRN CRAFT 10 FT FISHING,LEVEL FLOTATION,1994-10-24
030139T,FIN,FINELINE INDUSTRIES INC,"""CENTURION, SUPREME, GEKKO""",STEERING FAILS,2005-12-30
030140S,QJT,PRINCECRAFT,VARIOUS,FUEL SYSTEM SENDER GASKET,2003-09-30
980122T,HQZ,U.S. COAST GUARD HEADQUARTERS,MERCURY & MARINER OUTBOARDS,FLYWHEEL BOLT,2001-06-19
060079T,SVT,SUNDANCE BOATS INC.,SKIFF,FUEL FILL FITTING,2007-01-31
040106T,JTC,CROWNLINE BOATS INC,210LX AND 216,MERCURY SHIFTER,2006-02-27
920193T,OMC,OUTBOARD MARINE CORP,84-86 LOWE & SEA NYMPH,SEAT SPIDER,1994-03-30
970085S,BNZ,STRATOS BOATS INC,STRATOS (SEE NEXT PAGE),LEVEL FLOTATION,1999-08-15
800090S,SAL,TIDERUNNER INC,16FT MODEL 160,LEVEL FLOTATION,1981-02-19
900720T,,VOLVO PENTA OF AMERICA,MODEL 290A STERNDRIVE,WON'T SHIFT CONSISTENTLY,1990-12-26
940016T,DFF,DUFFIELD ELECTRIC BOAT CO,DUFFY ELECTRIC BOATS,ELECT WIRING HARNESS,1994-10-24
000106S,SSU,S2 YACHTS INC,2260 DENALI & 2460 DENALI,LABEL BLOWER WARNING,2001-11-27
060053T,HUN,HUNTER MARINE CORP,,THRU HULL BALL VALVE,2009-02-24
050051T,YAM,YAMAHA MOTOR CORP USA,VX1100/VX1100A,ELECTRICAL SYSTEM,2005-08-22
950102T,ZZN,BOMBARDIER CORP,HX,FUEL TANK: ABRASION OF,1998-09-15
060069T,GYM,GULF COAST BOATS,FLATS BOATS,FUEL FILL FITTING CRACKS,2006-10-26
920400S,COJ,COMMANDER BOATS,19' NEWPORT,LEVEL FLOTATION,1992-08-28
